Chave|Nº Item|EAN|Reg. Anvisa|CódigoProd|NomeProd|NCM|Quantidade|Valor Unitário|Valor Total|Base ST Retido XML|ICMS ST XML|Alíquota|PMC|PMC 12|PMC 18|Concessão|Tipo Produto|Fator Redução
35180527849963000110550010001697621001692320|1|7896523207988|1438100990027|104828|MAL DEXCL+BETA CIMED 120ML|30039049|30.0|3.1|93.00|393.90|42.90|12|10.15|27.13|29.34|NEGATIVA|Genérico|41.36
35180527849963000110550010001697621001692320|2|7898075314206|1048101010011|178962|NIMESULIDA CIMED 100MG 12 S|30039049|200.0|0.8|160.00|1670.00|24.00|12|15.32|22.45|24.1|POSITIVA|Genérico|27.88
35180527849963000110550010001697621001692320|3|7898100243150|1003800480074|200071|AMBROL AD XPE 100ML BRASTERA|30039049|24.0|1.99|47.76|60.96|2.88|18|23.92|22.12|23.93|NEGATIVA|Similar|25.56
35180527849963000110550010001697621001692320|4|7898133130403|1384100020017|117903|MAXALGINA GTS 10ML NATULAB|30049069|480.0|0.75|360.00|456.00|48.00|18|5.42|nc|nc|NEGATIVA|Similar|25.56
35180527849963000110550010001697621001692320|5|7898148301720|1256802020023|58305|LOSARTANA POT PRAT 50MG 30 S|30049069|96.0|1.95|187.20|864.00|92.16|12|9.00|41.09|44.1|POSITIVA|Genérico|27.88
35180527849963000110550010001697621001692320|6|7898279790776||137943|FINI MINHOCAS BRILHO 100GR|17049020|12.0|3.36|40.32|||18|5.04|||||27.88
35180527849963000110550010001697621001692320|7|7898391071807||164111|BENGALA LISA MOGNO E22 C/ANEL|90211010|1.0|24.4|24.40|||18|30.64|||||27.88
35180527849963000110550010001697621001692320|8|7898591452376||158030|FINI NATURAL SWEETS MEL/LIMAO|17049020|12.0|1.65|19.80|||18|2.99|||||27.88
35180527849963000110550010001697621001692320|9|7898591453595||191882|FINI TUBES TROLLS 80G|17049020|12.0|3.36|40.32|||18|5.17|||||27.88
35180527849963000110550010001697621001692320|10|7898623350588||152256|BALA GENGIBRE CONLIFE MEL/PROP|20060000|30.0|1.13|33.90|60.60|4.80|18|2.99|||||27.88
